AgArea,Station_ID,Station_Description,DECIMAL_LAT,DECIMAL_LONG,pH_benuse,pH_low,pH_high,DO_use,DO_criteria,ZDADM,Temp_Benuse,spwn_time,Comments
Rogue River,10414,Rogue River at Lobster Creek Bridge,42.50367,-124.2922,Estuarine and Freshwater,6.5,8.5,,,,,,
Rogue River,10418,Rogue River at Robertson Bridge (Merlin),42.49683,-123.4873,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,10421,Rogue River at Hwy 234 (north of Gold Hill),42.43269,-123.0894,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,10423,Rogue River at Hwy 234 (Dodge Park),42.52533,-122.8416,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15,
Rogue River,10428,Applegate River at Hwy 199 (near Wilderville),42.3975,-123.4558,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,10602,Little Butte Creek at Agate Road (White City),42.45544,-122.855,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,16,Core Cold Water Habitat,September 15-June 15,
Rogue River,11051,Bear Creek at Kirtland Road (Central Point),42.40472,-122.9377,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,11482,Illinois River downstream of Kerby,42.23839,-123.6868,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,36805,"Applegate River at Murphy, OR",42.35,-123.333,Estuarine and Freshwater,6.5,8.5,Cold-Water Aquatic Life,8,18,Salmon and Trout Rearing and Migration,October 15-May 15,
Rogue River,USGS-14330000,"ROGUE RIVER BELOW PROSPECT, OR",42.72957,-122.5161,,,,,,18,Salmon and Trout Rearing and Migration,No spawning ,
