"","MLocID","StationDes","datetime","temp","grade_temp","ph","grade_ph","cond","grade_cond","do","grade_do","do_sat","grade_do_sat","data_source","Lat_DD","Long_DD","LLID","RiverMile","Spawn_dates","SpawnStart","SpawnEnd","crit_Instant","in_spawn","DO_lim","DO_status","Site"
"1","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 13:00:32,14.23,"A+",NA,NA,0.343,"A+",14.53,"C",141.8,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"2","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 13:15:16,14.36,"A+",NA,NA,0.336,"A+",16.66,"C",163.1,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"3","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 13:30:16,14.48,"A+",NA,NA,0.334,"A+",15.21,"C",149.3,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"4","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 14:15:16,14.79,"A+",NA,NA,0.332,"A+",14.31,"C",141.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"5","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 15:00:32,15.03,"A+",NA,NA,0.333,"A+",14.17,"C",140.7,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"6","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 15:15:16,15.03,"A+",NA,NA,0.333,"A+",15.77,"C",156.6,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"7","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 15:30:16,15.14,"A+",NA,NA,0.331,"A+",16.1,"C",160.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"8","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 15:45:16,15.18,"A+",NA,NA,0.332,"A+",16.18,"C",161.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"9","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 16:00:32,15.31,"A+",NA,NA,0.327,"A+",15.56,"C",155.5,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"10","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 16:15:16,15.42,"A+",NA,NA,0.327,"A+",15.12,"C",151.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"11","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 16:30:16,15.78,"A+",NA,NA,0.326,"A+",16.02,"C",161.7,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"12","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 16:45:16,15.92,"A+",NA,NA,0.327,"A+",16.44,"C",166.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"13","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 17:00:32,16.1,"A+",NA,NA,0.327,"A+",17.17,"C",174.5,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"14","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 17:15:16,16.16,"A+",NA,NA,0.327,"A+",18.06,"C",183.8,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"15","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 17:30:16,16.11,"A+",NA,NA,0.326,"A+",18.81,"C",191.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"16","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 17:45:16,16.15,"A+",NA,NA,0.329,"A+",19.65,"C",199.9,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"17","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 18:00:32,16.19,"A+",NA,NA,0.328,"A+",19.46,"C",198.1,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"18","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 18:15:16,16.3,"A+",NA,NA,0.331,"A+",19.98,"C",203.8,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"19","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 18:30:16,17.19,"A+",NA,NA,0.342,"A+",18.07,"C",187.9,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"20","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 18:45:16,16.85,"A+",NA,NA,0.342,"A+",16.76,"C",173,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"21","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 19:00:32,16.9,"A+",NA,NA,0.351,"A+",17.26,"C",178.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"22","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 19:15:16,16.81,"A+",NA,NA,0.369,"A+",16.9,"C",174.3,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"23","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-11 19:30:16,16.32,"A+",NA,NA,0.401,"A+",16.4,"C",167.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"24","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 10:15:16,15.83,"A+",NA,NA,0.341,"A+",16.47,"B",166.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"25","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 10:30:16,16.44,"A+",NA,NA,0.346,"A+",15.04,"B",153.9,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"26","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 10:45:16,16.34,"A+",NA,NA,0.343,"A+",15.24,"B",155.7,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"27","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 11:00:32,16.44,"A+",NA,NA,0.34,"A+",16,"B",163.7,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"28","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 11:15:16,16.77,"A+",NA,NA,0.34,"A+",16.09,"B",165.8,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"29","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 11:30:16,17.1,"A+",NA,NA,0.344,"A+",16.79,"B",174.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"30","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 11:45:16,17.45,"A+",NA,NA,0.349,"A+",17.07,"B",178.5,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"31","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 12:00:32,17.3,"A+",NA,NA,0.348,"A+",15.19,"B",158.3,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"32","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 12:15:16,17.46,"A+",NA,NA,0.352,"A+",14.84,"B",155.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"33","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 12:30:16,17.53,"A+",NA,NA,0.352,"A+",15.37,"B",160.9,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"34","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 12:45:16,17.52,"A+",NA,NA,0.351,"A+",14.73,"B",154.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"35","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 13:00:32,17.49,"A+",NA,NA,0.352,"A+",14.07,"B",147.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"36","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 13:15:16,17.53,"A+",NA,NA,0.349,"A+",14.58,"B",152.6,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"37","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 13:30:16,17.59,"A+",NA,NA,0.349,"A+",15.49,"B",162.4,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"38","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 13:45:16,17.84,"A+",NA,NA,0.344,"A+",15.24,"B",160.6,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"39","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 14:00:32,17.92,"A+",NA,NA,0.339,"A+",14.1,"B",148.8,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"40","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 17:00:32,18.85,"A+",NA,NA,0.321,"A+",15.54,"B",167.2,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
"41","34440-ORDEQ","Hall Slough at Goodspeed Road (Tillamook, OR)",2008-06-12 17:15:16,18.76,"A+",NA,NA,0.322,"A+",16.56,"B",177.7,NA,"Excel",45.47066562,-123.8622558,1238740454800,1.19143699,"X (No Spawning)",NA,NA,6.5,0,6.5,"1","34440-ORDEQ Hall Slough at Goodspeed Road (Tillamook, OR)"
