lasar_id,Latitude1,Latitude2,Longitude1,Longitude2
13368,45.722333,NA,-123.771417,NA
21800,45.277942,NA,-123.55045,NA
22394,45.2765,NA,-123.818167,NA
23509,45.84384,NA,-123.589979,NA
29292,45.75222,NA,-123.655,NA
29302,45.81167,NA,-123.61306,NA
34440,45.47086,NA,-123.86102,NA
10523,45.2071,45.20700786,-123.8902,-123.8898902
13431,45.456389,45.45620156,-123.85853,-123.859714
13430,45.459167,45.45913,-123.844444,-123.8444
13428,45.465278,45.46528,-123.843889,-123.8439
13429,45.470833,45.47048,-123.809167,-123.8098
13421,NA,45.4782454,NA,-123.8443842
11856,45.700361,45.69975923,-123.842444,-123.8441202
